sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
284361,Federico Dimarco,DEF,2425,SerieA,Italy,4,7,25,2,0,7.24,21.875,15
917087,Kang-in Lee,MID,2425,L1,France,6,6,25,0,0,7.46,17.928,4
250223,John McGinn,MID,2425,PL,England,1,4,33,2,0,6.9,29.464,27
1063767,Ismael Saibari,MID,2425,Ered,Netherlands,11,11,39,1,0,7.43,15.25,28
1099352,Giuliano Simeone,MID,2425,LaLiga,Spain,2,6,27,1,0,6.91,23.892,13
904897,Ryan Gravenberch,MID,2425,PL,England,0,4,69,11,0,7.04,29.464,12
383560,Manuel Akanji,DEF,2425,PL,England,0,0,19,5,0,6.96,29.464,12
1021272,Daniel Svensson,DEF,2425,Bund,Germany,1,3,15,2,0,7.08,18.421,8
1130939,Maghnes Akliouche,MID,2425,L1,France,5,10,51,7,0,7.31,17.928,22
1138804,Hakon Arnar Haraldsson,MID,2425,L1,France,5,3,36,1,0,7.22,17.928,12
118085,Hans Vanaken,MID,2425,Belgium,Belgium,10,13,49,10,0,7.57,15.65,15
908716,Miguel Gutiérrez,DEF,2425,LaLiga,Spain,1,5,37,5,0,7.03,23.892,13
788949,Maximilian Mittelstädt,DEF,2425,Bund,Germany,1,7,79,2,0,7.37,18.421,16
803039,Donyell Malen,FWD,2425,PL,England,3,0,7,0,0,6.72,29.464,11
964994,Joško Gvardiol,DEF,2425,PL,England,5,0,58,11,0,7.37,29.464,12
891510,Chris Führich,MID,2425,Bund,Germany,2,3,15,1,0,6.96,18.421,8
1001196,Gonçalo Inácio,DEF,2425,Portugal,Portugal,3,2,40,10,0,7.23,16.25,13
907463,Felix Nmecha,MID,2425,Bund,Germany,4,1,34,1,0,7.05,18.421,16
1002837,Piero Hincapié,DEF,2425,Bund,Germany,2,2,52,8,0,7.17,18.421,24
979480,Willian Pacho,DEF,2425,L1,France,0,1,56,4,0,7.04,17.928,33
957602,Riccardo Calafiori,DEF,2425,PL,England,2,1,27,0,0,6.97,29.464,17
869856,Dominik Szoboszlai,MID,2425,PL,England,6,6,38,8,0,7.14,29.464,14
800951,Julian Ryerson,DEF,2425,Bund,Germany,2,3,46,4,0,6.91,18.421,23
